Alabama,AL,South,4863000
Alaska,AK,West,742000
Arizona,AZ,West,6931000
Arkansas,AR,South,2988000
California,CA,West,39250000
Colorado,CO,West,5541000
Connecticut,CT,Northeast,3576000
Delaware,DE,South,952000
Florida,FL,South,20612000
Georgia,GA,South,10310000
Hawaii,HI,West,1429000
Idaho,ID,West,1683000
Illinois,IL,Midwest,12802000
Indiana,IN,Midwest,6633000
Iowa,IA,Midwest,3135000
Kansas,KS,Midwest,2907000
Kentucky,KY,South,4437000
Louisiana,LA,South,4682000
Maine,ME,Northeast,1331000
Maryland,MD,South,6016000
Massachusetts,MA,Northeast,6812000
Michigan,MI,Midwest,9928000
Minnesota,MN,Midwest,5520000
Mississippi,MS,South,2989000
Missouri,MO,Midwest,6093000
Montana,MT,West,1043000
Nebraska,NE,Midwest,1907000
Nevada,NV,West,2940000
New Hampshire,NH,Northeast,1335000
New Jersey,NJ,Northeast,8944000
New Mexico,NM,West,2081000
New York,NY,Northeast,19745000
North Carolina,NC,South,10147000
North Dakota,ND,Midwest,758000
Ohio,OH,Midwest,11614000
Oklahoma,OK,South,3924000
Oregon,OR,West,4093000
Pennsylvania,PA,Northeast,12784000
Rhode Island,RI,Northeast,1056000
South Carolina,SC,South,4961000
South Dakota,SD,Midwest,865000
Tennessee,TN,South,6651000
Texas,TX,South,27863000
Utah,UT,West,3051000
Vermont,VT,Northeast,625000
Virginia,VA,South,8412000
Washington,WA,West,7288000
West Virginia,WV,South,1831000
Wisconsin,WI,Midwest,5779000
Wyoming,WY,West,586000
